layer,time,testing_accuracy
1,0.31015992164611816,0.685483870968
5,0.34124016761779785,0.782258064516
10,0.31397104263305664,0.725806451613
15,0.3431251049041748,0.725806451613
20,0.2986280918121338,0.725806451613
25,0.27649474143981934,0.790322580645
50,0.3200540542602539,0.790322580645
