k,time,silhouette score,calinski-harabaz score,log-likelihood,algo
2,0.12010908126831055,0.350538770039,5544.26720092,-1.28655969996,Kmeans_ICA
3,0.2925729751586914,0.417322714033,8919.62193988,-0.718272908501,Kmeans_ICA
4,0.26604413986206055,0.398912270478,8661.49686237,-0.555634907582,Kmeans_ICA
5,0.5963246822357178,0.362538111322,8611.64567258,-0.449807346034,Kmeans_ICA
6,0.591447114944458,0.379455484092,8916.75227788,-0.366229935239,Kmeans_ICA
7,0.7001552581787109,0.368956753549,8926.25132719,-0.314491879995,Kmeans_ICA
8,1.059985876083374,0.368041200702,8725.13069751,-0.281196378577,Kmeans_ICA
9,1.1931140422821045,0.356257065824,8703.03864576,-0.250983857882,Kmeans_ICA
10,1.224473237991333,0.365103823645,8839.46432655,-0.223128419607,Kmeans_ICA
11,1.45094895362854,0.352548768529,8781.76422586,-0.204260354538,Kmeans_ICA
12,1.532564401626587,0.350555268692,8761.11717318,-0.187815167784,Kmeans_ICA
13,1.7214758396148682,0.353936759891,8834.96356891,-0.172180587205,Kmeans_ICA
14,1.606309175491333,0.352959131161,8718.71759506,-0.161941632063,Kmeans_ICA
15,1.9627697467803955,0.354311047825,8679.57886903,-0.151864953482,Kmeans_ICA
16,1.8545422554016113,0.342434466496,8666.03119708,-0.142656302958,Kmeans_ICA
17,2.7038469314575195,0.342451967798,8627.67638163,-0.134882081331,Kmeans_ICA
18,1.736232042312622,0.341088425042,8549.95818821,-0.12852651755,Kmeans_ICA
19,2.5014150142669678,0.340887896804,8485.06954924,-0.122682986065,Kmeans_ICA
