k,time,silhouette score,calinski-harabaz score,algo
2,0.6431279182434082,0.43918835689,5092.46058395,-12973.7198984,Kmeanseans_FA
3,0.8825347423553467,0.407133554545,6849.06768183,-8261.61695009,Kmeans_FA
4,1.4371001720428467,0.389678216781,7285.20623512,-6145.37394129,Kmeans_FA
5,1.1066091060638428,0.362623841093,7149.23902163,-5071.54636052,Kmeans_FA
6,1.3341419696807861,0.384088699274,7346.53378425,-4188.21617271,Kmeans_FA
7,2.557302951812744,0.376721453358,7632.79619309,-3507.48287847,Kmeans_FA
8,3.165151834487915,0.357151675382,7529.46208265,-3120.69449045,Kmeans_FA
9,2.5729639530181885,0.340348884805,7380.49698654,-2833.9591268,Kmeans_FA
10,3.985321044921875,0.353881932995,7419.95527962,-2548.1803914,Kmeans_FA
11,3.520003080368042,0.359275817593,7368.83716669,-2337.60344682,Kmeans_FA
12,4.761839866638184,0.34837437765,7430.31658103,-2132.36821806,Kmeans_FA
13,6.314298152923584,0.347514476581,7432.53777883,-1971.89459548,Kmeans_FA
14,11.057515859603882,0.346000154617,7496.26800875,-1820.08172281,Kmeans_FA
15,10.87873387336731,0.34869815955,7496.68816438,-1701.12273107,Kmeans_FA
16,9.445840120315552,0.344021048948,7449.0049923,-1606.22201687,Kmeans_FA
17,8.095977067947388,0.338332218292,7417.6861608,-1519.32572752,Kmeans_FA
18,9.724764823913574,0.341496198339,7428.79968757,-1434.38513438,Kmeans_FA
19,10.314178943634033,0.340780518072,7431.50543315,-1359.65334451,Kmeans_FA
